0.16, 4, red, Entry
3.86, 3, red, Entry
3.86, 1, red, Entry
3.86, 1, red, Entry
3.86, 2, yellow, Exit
4.01, 3, red, Entry
4.01, 3, red, Entry
4.01, 1, red, Entry
4.01, 2, yellow, Exit
4.17, 3, red, Entry
4.17, 4, red, Entry
4.17, 1, red, Entry
4.17, 1, red, Entry
4.17, 2, yellow, Entry
4.34, 4, red, Entry
4.34, 1, red, Entry
4.34, 1, red, Entry
4.34, 2, yellow, Exit
4.48, 4, red, Entry
4.48, 1, red, Entry
4.48, 1, red, Entry
4.48, 2, yellow, Exit
4.62, 4, red, Entry
4.62, 3, red, Entry
4.62, 4, red, Entry
4.62, 1, red, Entry
4.62, 1, red, Entry
4.62, 2, red, Entry
4.62, 2, yellow, Exit
4.76, 4, red, Entry
4.76, 1, red, Entry
4.76, 1, red, Entry
4.76, 2, yellow, Exit
4.90, 4, red, Entry
4.90, 3, red, Entry
4.90, 1, red, Entry
4.90, 2, red, Entry
4.90, 1, red, Entry
4.90, 2, yellow, Exit
5.04, 3, red, Entry
5.04, 4, red, Entry
5.04, 3, red, Entry
5.04, 3, red, Entry
5.04, 1, red, Entry
5.04, 1, red, Entry
5.04, 2, yellow, Exit
5.19, 3, red, Entry
5.19, 4, red, Entry
5.19, 4, red, Entry
5.19, 2, red, Entry
5.19, 1, red, Entry
5.19, 2, red, Entry
5.19, 1, red, Entry
5.19, 2, yellow, Exit
5.33, 4, red, Entry
5.33, 3, red, Entry
5.33, 2, red, Entry
5.33, 1, red, Entry
5.33, 2, red, Entry
5.33, 2, yellow, Exit
5.48, 3, red, Entry
5.48, 4, red, Entry
5.48, 2, red, Entry
5.48, 1, red, Entry
5.48, 1, red, Entry
5.48, 2, yellow, Exit
5.62, 4, red, Entry
5.62, 4, red, Entry
5.62, 4, red, Entry
5.62, 2, red, Entry
5.62, 1, red, Entry
5.62, 1, red, Entry
5.62, 2, yellow, Entry
5.77, 4, red, Entry
5.77, 1, red, Entry
5.77, 1, red, Entry
5.77, 2, yellow, Exit
5.92, 3, red, Entry
5.92, 4, red, Entry
5.92, 4, red, Entry
5.92, 1, red, Entry
5.92, 2, yellow, Exit
6.07, 4, red, Entry
6.07, 2, red, Entry
6.07, 1, red, Entry
6.07, 2, yellow, Exit
6.21, 4, red, Entry
6.21, 1, red, Entry
6.21, 1, red, Entry
6.21, 2, yellow, Exit
6.37, 4, red, Entry
6.37, 4, red, Entry
6.37, 3, red, Entry
6.37, 1, red, Entry
6.37, 1, red, Entry
6.37, 2, yellow, Exit
6.51, 4, red, Entry
6.51, 4, red, Entry
6.51, 4, red, Entry
6.51, 1, red, Entry
6.51, 2, red, Entry
6.51, 1, red, Entry
6.51, 2, yellow, Exit
6.70, 3, red, Entry
6.70, 4, red, Entry
6.70, 1, red, Entry
6.70, 1, red, Entry
6.70, 2, yellow, Exit
6.85, 4, red, Entry
6.85, 3, red, Entry
6.85, 1, red, Entry
6.85, 1, red, Entry
6.85, 1, red, Entry
6.85, 2, red, Entry
6.85, 2, yellow, Exit
7.01, 3, red, Entry
7.01, 4, red, Entry
7.01, 3, red, Entry
7.01, 1, red, Entry
7.01, 1, red, Entry
7.01, 2, yellow, Exit
7.17, 4, red, Entry
7.17, 1, red, Entry
7.17, 1, red, Exit
7.17, 2, red, Entry
7.17, 2, yellow, Exit
7.33, 4, red, Entry
7.33, 1, red, Entry
7.33, 1, red, Entry
7.33, 2, yellow, Entry
7.49, 2, red, Entry
7.49, 1, red, Entry
7.49, 2, yellow, Exit
7.68, 3, red, Entry
7.68, 1, red, Entry
7.68, 4, red, Entry
7.68, 2, red, Entry
7.68, 1, red, Entry
7.68, 1, red, Entry
7.68, 2, yellow, Exit
7.86, 3, red, Entry
7.86, 3, red, Entry
7.86, 1, red, Entry
7.86, 2, red, Entry
7.86, 1, red, Entry
7.86, 2, yellow, Exit
8.02, 2, red, Entry
8.02, 1, red, Entry
8.02, 2, yellow, Exit
8.18, 3, red, Exit
8.18, 2, red, Entry
8.18, 1, red, Entry
8.18, 1, red, Entry
8.18, 2, yellow, Exit
8.33, 4, red, Entry
8.33, 4, red, Entry
8.33, 4, red, Entry
8.33, 3, red, Entry
8.33, 2, red, Entry
8.33, 2, red, Entry
8.33, 1, red, Entry
8.33, 2, yellow, Exit
8.49, 3, red, Entry
8.49, 3, red, Entry
8.49, 2, red, Entry
8.49, 1, red, Entry
8.49, 1, red, Entry
8.49, 2, yellow, Exit
8.65, 1, red, Entry
8.65, 1, red, Entry
8.65, 2, red, Entry
8.65, 2, yellow, Exit
8.80, 4, red, Entry
8.80, 2, red, Entry
8.80, 1, red, Entry
8.80, 1, red, Entry
8.80, 2, yellow, Exit
8.96, 3, red, Entry
8.96, 4, red, Entry
8.96, 3, red, Entry
8.96, 1, red, Entry
8.96, 1, red, Entry
8.96, 2, yellow, Exit
9.12, 3, red, Entry
9.12, 4, red, Entry
9.12, 4, red, Entry
9.12, 3, red, Entry
9.12, 3, red, Entry
9.12, 1, red, Entry
9.12, 1, red, Entry
9.12, 1, red, Exit
9.12, 2, yellow, Exit
9.28, 4, red, Entry
9.28, 3, red, Entry
9.28, 3, red, Entry
9.28, 3, red, Entry
9.28, 3, red, Entry
9.28, 3, red, Entry
9.28, 1, red, Entry
9.28, 1, red, Entry
9.28, 2, red, Entry
9.28, 2, yellow, Exit
9.44, 4, red, Entry
9.44, 4, red, Entry
9.44, 3, red, Entry
9.44, 3, red, Entry
9.44, 4, red, Entry
9.44, 3, red, Entry
9.44, 2, red, Entry
9.44, 1, red, Entry
9.44, 1, red, Entry
9.44, 2, yellow, Exit
9.58, 3, red, Entry
9.58, 4, red, Entry
9.58, 4, red, Entry
9.58, 2, red, Entry
9.58, 1, red, Entry
9.58, 1, red, Entry
9.58, 2, yellow, Exit
9.72, 3, red, Entry
9.72, 4, red, Entry
9.72, 1, red, Entry
9.72, 1, red, Entry
9.72, 2, red, Entry
9.72, 2, yellow, Exit
9.86, 3, red, Entry
9.86, 4, red, Entry
9.86, 4, red, Entry
9.86, 4, red, Entry
9.86, 3, red, Entry
9.86, 3, red, Entry
9.86, 3, red, Entry
9.86, 1, red, Entry
9.86, 1, red, Exit
9.86, 2, red, Entry
9.86, 2, yellow, Entry
10.00, 3, red, Entry
10.00, 4, red, Entry
10.00, 3, red, Entry
10.00, 4, red, Entry
10.00, 2, red, Entry
10.00, 2, red, Entry
10.00, 1, red, Entry
10.00, 1, red, Entry
10.15, 3, red, Entry
10.15, 4, red, Entry
10.15, 3, red, Entry
10.15, 4, red, Entry
10.15, 1, red, Entry
10.15, 1, red, Entry
10.15, 2, red, Entry
10.29, 3, red, Entry
10.29, 3, red, Entry
10.29, 4, red, Entry
10.29, 4, red, Entry
10.29, 1, red, Entry
10.29, 1, red, Entry
10.29, 2, red, Entry
10.44, 3, red, Entry
10.44, 4, red, Entry
10.44, 3, red, Exit
10.44, 1, red, Entry
10.44, 1, red, Entry
10.44, 2, red, Entry
10.44, 1, red, Entry
10.58, 3, red, Entry
10.58, 4, red, Exit
10.58, 3, red, Entry
10.58, 3, red, Entry
10.58, 1, red, Entry
10.58, 1, red, Entry
10.73, 3, red, Entry
10.73, 4, red, Exit
10.73, 4, red, Entry
10.73, 3, red, Entry
10.73, 2, red, Entry
10.73, 1, red, Entry
10.73, 1, red, Entry
10.86, 3, red, Entry
10.86, 4, red, Exit
10.86, 3, red, Entry
10.86, 2, red, Entry
10.86, 1, red, Entry
10.86, 1, red, Entry
11.00, 4, red, Entry
11.00, 4, red, Entry
11.00, 3, red, Entry
11.00, 4, red, Entry
11.00, 1, red, Entry
11.00, 2, red, Entry
11.00, 1, red, Entry
11.15, 3, red, Entry
11.15, 4, red, Exit
11.15, 3, red, Entry
11.15, 3, red, Entry
11.15, 1, red, Entry
11.15, 1, red, Entry
11.15, 2, red, Entry
11.29, 3, red, Entry
11.29, 4, red, Exit
11.29, 3, red, Entry
11.29, 3, red, Entry
11.29, 1, red, Entry
11.29, 4, red, Entry
11.29, 2, red, Entry
11.29, 1, red, Entry
11.29, 2, red, Entry
11.29, 1, red, Entry
11.43, 3, red, Entry
11.43, 4, red, Entry
11.43, 4, red, Entry
11.43, 3, red, Entry
11.43, 2, red, Entry
11.43, 1, red, Entry
11.43, 1, red, Entry
11.57, 3, red, Entry
11.57, 3, red, Entry
11.57, 4, red, Entry
11.57, 3, red, Entry
11.57, 1, red, Entry
11.57, 1, red, Exit
11.72, 3, red, Entry
11.72, 4, red, Exit
11.72, 3, red, Entry
11.72, 3, red, Entry
11.72, 1, red, Entry
11.72, 1, red, Entry
11.85, 3, red, Entry
11.85, 4, red, Exit
11.85, 3, red, Entry
11.85, 2, red, Entry
11.85, 1, red, Entry
11.85, 1, red, Entry
11.85, 2, red, Entry
11.85, 1, red, Entry
11.85, 4, yellow, Entry
11.99, 3, red, Entry
11.99, 4, red, Exit
11.99, 1, red, Entry
11.99, 1, red, Entry
11.99, 1, red, Entry
11.99, 4, yellow, Entry
12.13, 3, red, Entry
12.13, 4, red, Entry
12.13, 1, red, Entry
12.13, 1, red, Entry
12.13, 2, red, Entry
12.13, 4, yellow, Entry
12.28, 3, red, Entry
12.28, 3, red, Entry
12.28, 4, red, Entry
12.28, 3, red, Entry
12.28, 2, red, Entry
12.28, 1, red, Entry
12.28, 2, red, Entry
12.28, 1, red, Exit
12.28, 2, green, Entry
12.28, 4, yellow, Entry
12.42, 3, red, Entry
12.42, 3, red, Entry
12.42, 4, red, Entry
12.42, 3, red, Entry
12.42, 3, red, Entry
12.42, 1, red, Entry
12.42, 1, red, Entry
12.42, 2, red, Entry
12.42, 4, yellow, Entry
12.59, 3, red, Entry
12.59, 3, red, Entry
12.59, 4, red, Exit
12.59, 3, red, Entry
12.59, 3, red, Exit
12.59, 1, red, Entry
12.59, 1, red, Entry
12.59, 4, yellow, Entry
12.75, 3, red, Entry
12.75, 4, red, Exit
12.75, 3, red, Entry
12.75, 3, red, Entry
12.75, 1, red, Entry
12.75, 4, yellow, Entry
12.91, 3, red, Entry
12.91, 4, red, Exit
12.91, 3, red, Entry
12.91, 3, red, Entry
12.91, 3, red, Entry
12.91, 2, red, Entry
12.91, 1, red, Entry
12.91, 2, green, Entry
12.91, 4, yellow, Exit
13.05, 3, red, Entry
13.05, 3, red, Entry
13.05, 4, red, Exit
13.05, 3, red, Entry
13.05, 3, red, Entry
13.05, 2, red, Entry
13.05, 2, red, Entry
13.05, 1, red, Entry
13.05, 1, red, Entry
13.05, 2, green, Entry
13.05, 4, yellow, Exit
13.19, 3, red, Entry
13.19, 3, red, Entry
13.19, 4, red, Exit
13.19, 3, red, Entry
13.19, 1, red, Entry
13.19, 1, red, Entry
13.19, 2, green, Exit
13.19, 4, yellow, Exit
13.33, 3, red, Entry
13.33, 4, red, Entry
13.33, 3, red, Entry
13.33, 4, red, Exit
13.33, 3, red, Entry
13.33, 2, red, Entry
13.33, 3, red, Entry
13.33, 4, yellow, Entry
13.47, 3, red, Entry
13.47, 4, red, Entry
13.47, 4, red, Entry
13.47, 3, red, Entry
13.47, 4, red, Entry
13.47, 3, red, Exit
13.47, 1, red, Entry
13.47, 2, red, Entry
13.47, 1, red, Entry
13.47, 1, red, Entry
13.47, 1, red, Entry
13.47, 4, yellow, Entry
13.61, 4, red, Entry
13.61, 3, red, Entry
13.61, 2, red, Entry
13.61, 1, red, Entry
13.61, 1, red, Entry
13.61, 2, green, Entry
13.61, 4, yellow, Entry
13.75, 3, red, Entry
13.75, 3, red, Entry
13.75, 2, red, Entry
13.75, 1, red, Entry
13.75, 1, red, Entry
13.75, 4, yellow, Entry
13.89, 3, red, Entry
13.89, 1, red, Entry
13.89, 1, red, Entry
13.89, 2, red, Entry
13.89, 4, yellow, Exit
14.03, 3, red, Entry
14.03, 3, red, Entry
14.03, 3, red, Entry
14.03, 1, red, Entry
14.03, 2, red, Entry
14.03, 2, red, Entry
14.03, 1, red, Entry
14.17, 3, red, Entry
14.17, 4, red, Entry
14.17, 1, red, Entry
14.17, 1, red, Entry
14.17, 2, red, Entry
14.30, 3, red, Entry
14.30, 3, red, Entry
14.30, 4, red, Entry
14.30, 3, red, Entry
14.30, 2, red, Entry
14.30, 1, red, Entry
14.30, 1, red, Entry
14.30, 1, red, Entry
14.30, 1, red, Entry
14.44, 4, red, Entry
14.44, 3, red, Entry
14.44, 1, red, Entry
14.44, 2, green, Entry
14.58, 4, red, Entry
14.58, 3, red, Entry
14.58, 1, red, Entry
14.58, 2, red, Entry
14.76, 4, red, Entry
14.76, 4, red, Entry
14.76, 4, red, Entry
14.76, 1, red, Entry
14.76, 1, red, Entry
14.92, 4, red, Entry
14.92, 3, red, Entry
14.92, 4, red, Entry
14.92, 1, red, Entry
15.06, 3, red, Entry
15.06, 4, red, Entry
15.06, 3, red, Entry
15.06, 1, red, Entry
15.19, 4, red, Entry
15.19, 4, red, Entry
15.19, 3, red, Entry
15.19, 1, red, Entry
15.33, 4, red, Entry
15.33, 1, red, Entry
15.33, 1, red, Entry
15.33, 1, red, Entry
15.46, 4, red, Entry
15.46, 1, red, Entry
15.46, 1, red, Entry
15.46, 2, yellow, Entry
15.60, 3, red, Entry
15.60, 4, red, Entry
15.60, 3, red, Entry
15.60, 1, red, Entry
15.60, 1, red, Entry
15.60, 1, red, Entry
15.60, 2, yellow, Entry
15.74, 3, red, Entry
15.74, 3, red, Entry
15.74, 4, red, Entry
15.74, 3, red, Entry
15.74, 1, red, Entry
15.74, 1, red, Entry
15.74, 1, red, Entry
15.74, 2, yellow, Entry
15.88, 3, red, Entry
15.88, 4, red, Entry
15.88, 1, red, Entry
15.88, 1, red, Entry
15.88, 2, red, Entry
15.88, 1, red, Entry
15.88, 2, yellow, Entry
16.02, 4, red, Entry
16.02, 1, red, Entry
16.02, 1, red, Entry
16.02, 1, red, Entry
16.02, 2, yellow, Entry
16.17, 3, red, Entry
16.17, 3, red, Entry
16.17, 3, red, Entry
16.17, 1, red, Entry
16.17, 4, red, Entry
16.17, 1, red, Entry
16.17, 1, red, Entry
16.17, 1, red, Entry
16.17, 2, yellow, Entry
16.30, 3, red, Entry
16.30, 4, red, Entry
16.30, 1, red, Entry
16.30, 2, yellow, Exit
16.44, 4, red, Entry
16.44, 3, red, Entry
16.44, 1, red, Entry
16.44, 1, red, Entry
16.44, 2, yellow, Entry
16.58, 3, red, Entry
16.58, 3, red, Entry
16.58, 4, red, Exit
16.58, 3, red, Entry
16.58, 1, red, Entry
16.58, 1, red, Entry
16.58, 2, yellow, Entry
16.72, 3, red, Entry
16.72, 4, red, Entry
16.72, 4, red, Entry
16.72, 3, red, Entry
16.72, 3, red, Entry
16.72, 1, red, Entry
16.72, 1, red, Entry
16.72, 1, red, Entry
16.72, 1, red, Entry
16.72, 2, red, Entry
16.72, 2, yellow, Exit
16.86, 3, red, Entry
16.86, 4, red, Entry
16.86, 4, red, Entry
16.86, 1, red, Entry
16.86, 2, yellow, Exit
16.99, 3, red, Entry
16.99, 4, red, Entry
16.99, 4, red, Entry
16.99, 2, red, Entry
16.99, 1, red, Entry
16.99, 2, yellow, Exit
17.13, 4, red, Entry
17.13, 4, red, Entry
17.13, 4, red, Entry
17.13, 2, red, Entry
17.13, 1, red, Entry
17.13, 2, red, Entry
17.13, 1, red, Entry
17.13, 1, red, Entry
17.13, 2, yellow, Exit
17.27, 4, red, Entry
17.27, 3, red, Entry
17.27, 1, red, Entry
17.27, 2, yellow, Exit
17.41, 3, red, Entry
17.41, 4, red, Entry
17.41, 4, red, Entry
17.41, 3, red, Entry
17.41, 1, red, Entry
17.41, 1, red, Entry
17.41, 1, red, Entry
17.41, 2, red, Entry
17.41, 2, yellow, Exit
17.56, 3, red, Entry
17.56, 4, red, Entry
17.56, 4, red, Entry
17.56, 2, red, Entry
17.56, 1, red, Entry
17.56, 1, red, Entry
17.56, 2, yellow, Exit
17.70, 4, red, Entry
17.70, 4, red, Entry
17.70, 2, red, Entry
17.70, 1, red, Entry
17.70, 1, red, Entry
17.70, 2, yellow, Exit
17.84, 3, red, Entry
17.84, 4, red, Entry
17.84, 3, red, Entry
17.84, 1, red, Entry
17.84, 1, red, Entry
17.84, 1, red, Entry
17.84, 2, red, Entry
17.84, 1, red, Entry
17.84, 2, yellow, Exit
17.98, 3, red, Entry
17.98, 4, red, Exit
17.98, 3, red, Entry
17.98, 2, red, Entry
17.98, 2, red, Entry
17.98, 1, red, Entry
17.98, 1, red, Entry
17.98, 2, yellow, Exit
18.12, 4, red, Exit
18.12, 1, red, Entry
18.12, 1, red, Entry
18.12, 2, yellow, Exit
18.26, 4, red, Exit
18.26, 4, red, Entry
18.26, 1, red, Entry
18.26, 2, red, Entry
18.26, 2, yellow, Exit
18.39, 4, red, Entry
18.39, 4, red, Entry
18.39, 4, red, Exit
18.39, 4, red, Entry
18.39, 1, red, Entry
18.39, 1, red, Entry
18.39, 2, red, Entry
18.39, 2, red, Entry
18.39, 2, yellow, Exit
18.53, 3, red, Entry
18.53, 3, red, Entry
18.53, 4, red, Exit
18.53, 4, red, Entry
18.53, 1, red, Entry
18.53, 1, red, Entry
18.53, 1, red, Entry
18.53, 2, yellow, Exit
18.68, 3, red, Entry
18.68, 4, red, Exit
18.68, 4, red, Entry
18.68, 4, red, Entry
18.68, 1, red, Entry
18.68, 1, red, Exit
18.68, 2, yellow, Exit
18.81, 3, red, Entry
18.81, 4, red, Entry
18.81, 4, red, Entry
18.81, 2, red, Entry
18.81, 1, red, Entry
18.81, 1, red, Entry
18.81, 2, yellow, Exit
18.95, 3, red, Entry
18.95, 4, red, Entry
18.95, 4, red, Entry
18.95, 3, red, Exit
18.95, 1, red, Entry
18.95, 1, red, Entry
18.95, 1, red, Entry
18.95, 1, red, Entry
18.95, 2, yellow, Exit
19.09, 3, red, Entry
19.09, 4, red, Exit
19.09, 4, red, Entry
19.09, 3, red, Entry
19.09, 1, red, Exit
19.09, 1, red, Entry
19.09, 2, yellow, Exit
19.23, 3, red, Entry
19.23, 4, red, Entry
19.23, 4, red, Exit
19.23, 3, red, Entry
19.23, 1, red, Entry
19.23, 1, red, Entry
19.23, 1, red, Entry
19.23, 2, red, Entry
19.23, 2, yellow, Exit
19.37, 3, red, Entry
19.37, 4, red, Entry
19.37, 4, red, Exit
19.37, 3, red, Entry
19.37, 3, red, Entry
19.37, 1, red, Entry
19.37, 1, red, Entry
19.37, 1, red, Entry
19.37, 1, red, Entry
19.37, 1, red, Entry
19.37, 2, yellow, Exit
19.51, 3, red, Entry
19.51, 4, red, Entry
19.51, 4, red, Entry
19.51, 4, red, Entry
19.51, 2, red, Entry
19.51, 1, red, Entry
19.51, 1, red, Entry
19.51, 1, red, Entry
19.51, 2, green, Entry
19.51, 2, yellow, Exit
19.65, 4, red, Entry
19.65, 3, red, Entry
19.65, 4, red, Entry
19.65, 4, red, Entry
19.65, 4, red, Entry
19.65, 1, red, Entry
19.65, 2, yellow, Exit
19.79, 3, red, Entry
19.79, 3, red, Entry
19.79, 3, red, Entry
19.79, 1, red, Entry
19.79, 1, red, Entry
19.79, 1, red, Entry
19.79, 2, red, Entry
19.79, 2, yellow, Exit
19.93, 3, red, Entry
19.93, 4, red, Entry
19.93, 3, red, Entry
19.93, 1, red, Entry
19.93, 1, red, Entry
19.93, 1, red, Entry
19.93, 1, red, Entry
19.93, 1, red, Entry
19.93, 1, red, Entry
19.93, 2, yellow, Exit
20.07, 3, red, Entry
20.07, 3, red, Entry
20.07, 3, red, Entry
20.07, 2, red, Entry
20.07, 2, red, Entry
20.07, 2, red, Entry
20.07, 2, red, Entry
20.07, 2, red, Entry
20.07, 1, red, Entry
20.07, 2, yellow, Exit
20.22, 3, red, Entry
20.22, 3, red, Entry
20.22, 4, red, Entry
20.22, 3, red, Entry
20.22, 1, red, Entry
20.22, 1, red, Entry
20.22, 2, red, Entry
20.22, 2, yellow, Exit
20.38, 3, red, Entry
20.38, 4, red, Entry
20.38, 4, red, Entry
20.38, 3, red, Entry
20.38, 4, red, Entry
20.38, 1, red, Exit
20.38, 2, red, Entry
20.38, 1, red, Entry
20.38, 1, red, Entry
20.38, 2, yellow, Exit
20.52, 3, red, Entry
20.52, 1, red, Entry
20.52, 1, red, Entry
20.67, 3, red, Entry
20.67, 4, red, Entry
20.67, 3, red, Entry
20.67, 1, red, Entry
20.67, 1, red, Entry
20.82, 4, red, Entry
20.82, 3, red, Entry
20.82, 4, red, Exit
20.82, 3, red, Entry
20.82, 2, red, Entry
20.82, 1, red, Entry
20.82, 1, red, Exit
20.82, 2, red, Entry
20.99, 3, red, Entry
20.99, 4, red, Entry
20.99, 1, red, Exit
20.99, 1, red, Entry
21.14, 4, red, Entry
21.14, 4, red, Entry
21.14, 1, red, Entry
21.28, 3, red, Entry
21.28, 3, red, Entry
21.28, 4, red, Entry
21.28, 3, red, Entry
21.28, 1, red, Entry
21.81, 3, red, Entry
21.81, 3, red, Entry
21.81, 3, red, Entry
21.81, 2, red, Entry
21.81, 1, red, Entry
21.81, 2, red, Entry
21.81, 1, red, Entry
21.81, 4, yellow, Entry
22.23, 3, red, Entry
22.23, 3, red, Entry
22.23, 3, red, Exit
22.23, 2, red, Entry
22.23, 1, red, Entry
22.23, 4, yellow, Entry
22.39, 3, red, Entry
22.39, 4, red, Entry
22.39, 3, red, Exit
22.39, 1, red, Exit
22.39, 1, red, Entry
22.39, 4, yellow, Entry
22.56, 4, red, Entry
22.56, 3, red, Entry
22.56, 1, red, Entry
22.56, 1, red, Entry
22.56, 1, red, Entry
22.56, 1, red, Entry
22.56, 4, yellow, Exit
22.72, 3, red, Entry
22.72, 4, red, Entry
22.72, 3, red, Entry
22.72, 1, red, Entry
22.72, 1, red, Entry
22.72, 1, red, Exit
22.72, 4, yellow, Entry
22.87, 3, red, Entry
22.87, 4, red, Entry
22.87, 3, red, Entry
22.87, 2, red, Entry
22.87, 1, red, Entry
22.87, 1, red, Entry
22.87, 4, yellow, Entry
23.02, 4, red, Entry
23.02, 3, red, Entry
23.02, 3, red, Entry
23.02, 4, red, Entry
23.02, 3, red, Entry
23.02, 1, red, Entry
23.02, 2, red, Entry
23.02, 1, red, Entry
23.02, 1, red, Entry
23.02, 4, yellow, Entry
23.18, 3, red, Entry
23.18, 4, red, Entry
23.18, 3, red, Entry
23.18, 3, red, Entry
23.18, 2, red, Entry
23.18, 1, red, Entry
23.18, 4, yellow, Entry
23.33, 3, red, Entry
23.33, 3, red, Entry
23.33, 2, red, Entry
23.33, 2, red, Entry
23.33, 1, red, Entry
23.33, 1, red, Entry
23.33, 4, yellow, Entry
23.48, 3, red, Entry
23.48, 3, red, Entry
23.48, 3, red, Entry
23.48, 1, red, Entry
23.48, 1, red, Entry
23.48, 2, red, Entry
23.48, 4, yellow, Entry
23.64, 3, red, Entry
23.64, 3, red, Entry
23.64, 1, red, Entry
23.64, 1, red, Entry
23.64, 1, red, Entry
23.64, 4, yellow, Entry
23.78, 4, red, Entry
23.78, 4, red, Entry
23.78, 4, red, Entry
23.78, 3, red, Entry
23.78, 4, red, Entry
23.78, 2, red, Entry
23.78, 1, red, Entry
23.78, 1, red, Entry
23.78, 4, yellow, Exit
23.93, 4, red, Entry
23.93, 3, red, Entry
23.93, 3, red, Entry
23.93, 4, red, Entry
23.93, 1, red, Entry
23.93, 1, red, Entry
23.93, 4, yellow, Exit
24.08, 3, red, Entry
24.08, 4, red, Entry
24.08, 3, red, Entry
24.08, 2, red, Entry
24.08, 3, red, Entry
24.08, 2, red, Entry
24.08, 2, red, Entry
24.08, 2, red, Entry
24.08, 1, red, Entry
24.08, 2, red, Entry
24.08, 2, red, Entry
24.08, 3, green, Entry
24.08, 4, yellow, Entry
24.24, 3, red, Entry
24.24, 4, red, Entry
24.24, 3, red, Entry
24.24, 1, red, Entry
24.24, 1, red, Entry
24.24, 3, green, Entry
24.24, 4, yellow, Exit
24.39, 3, red, Entry
24.39, 3, red, Entry
24.39, 4, red, Entry
24.39, 3, red, Entry
24.39, 2, red, Entry
24.39, 3, red, Entry
24.39, 1, red, Entry
24.39, 3, green, Entry
24.39, 4, yellow, Exit
24.53, 4, red, Entry
24.53, 3, red, Entry
24.53, 2, red, Entry
24.53, 2, red, Entry
24.53, 1, red, Entry
24.53, 1, red, Entry
24.53, 2, red, Entry
24.53, 3, green, Entry
24.53, 4, yellow, Entry
24.69, 3, red, Entry
24.69, 3, red, Entry
24.69, 2, red, Entry
24.69, 1, red, Entry
24.69, 2, red, Entry
24.69, 1, red, Entry
24.69, 2, red, Entry
24.69, 1, red, Entry
24.69, 3, green, Entry
24.69, 4, yellow, Entry
24.86, 4, red, Entry
24.86, 3, red, Entry
24.86, 4, red, Entry
24.86, 3, red, Exit
24.86, 4, red, Entry
24.86, 1, red, Entry
24.86, 2, red, Entry
24.86, 2, red, Entry
24.86, 1, red, Entry
24.86, 2, red, Exit
24.86, 3, green, Entry
24.86, 4, yellow, Exit
25.02, 3, red, Entry
25.02, 4, red, Entry
25.02, 3, red, Entry
25.02, 2, red, Entry
25.02, 2, red, Entry
25.02, 2, red, Entry
25.02, 1, red, Exit
25.02, 1, red, Entry
25.02, 1, red, Entry
25.02, 3, green, Entry
25.02, 4, yellow, Exit
25.16, 3, red, Entry
25.16, 3, red, Entry
25.16, 3, red, Entry
25.16, 2, red, Entry
25.16, 1, red, Entry
25.16, 2, red, Entry
25.16, 1, red, Entry
25.16, 2, red, Entry
25.16, 1, red, Entry
25.16, 3, green, Entry
25.16, 4, yellow, Exit
25.65, 4, red, Entry
25.65, 4, red, Entry
25.65, 3, red, Entry
25.65, 3, red, Entry
